Name,Description
Market Shock Simulation Range,Range of unique simulation runs for market shock impact analysis
Risk Weighted Assets,The value of assets that are used to calculate the capital requirements for a financial institution
Netting Set Identifier,Unique identifier for the netting set used for calculating the shock impact on the market
Market Shock Sensitivity Type,Categorization of the sensitivity of financial instruments to market shocks
Safe Region,Identification of a geographical area that is considered safe during market shock events
Safe Source Classification,Identifying the source of funding as safe or risky in the context of market shocks
Safe Source Reference,Unique identifier for the safe source of data in the Market Shock Impact analysis
Schedule Identifier,Unique identifier for a specific schedule in the Market Shock Impact analysis
Securitization Indicator,A flag indicating if a market shock impact is related to securitization or not
Security Adapter Number,Unique identifier for security adapter in the Market Shock Impact analysis
Security Category,Classification of securities based on their type or nature
Market Shock Impact Segment,Division within the Fixed Income Division that the Market Shock Impact applies to
Market Shock Segregation Indicator,Indicator of whether a market shock event is segregated or not
Market Shock Segregation,Categorization of market shock events based on specific criteria
Currency for Selling,The currency in which assets are sold during a market shock event
Market Shock Sell Notional Value,The hypothetical value of assets that would need to be sold in a market shock scenario
Market Shock Sell Notional Amount,The original notional amount of securities to be sold in the event of a market shock scenario
Seniority Level,The level of seniority assigned to a specific market shock event
Settlement Currency,Currency used for settlement of financial transactions
Settlement Mechanism,"The process by which financial transactions are settled, such as delivery versus payment (DVP) or free delivery"
Market Shock Settlement Flag,Indicator of whether a market shock event has been settled or not
Stress Test Results,Results of stress tests conducted to assess the impact of extreme market conditions on the financial institution
SOFR Migration Date,The date when the SOFR (Secured Overnight Financing Rate) migration process is scheduled to begin
Market Shock Origin,Identifies the source of a market shock event in the financial system
Market Shock Data Source,Identifies the source of market shock data used for analysis
Market Shock Stability Indicator,Indicator of the stability of a market shock event
Market Shock Start Date,Date when a specific market shock event begins
Market Shock Status,Indicates the current status of a market shock event
Market Shock Sub-Product,Identifies the specific sub-product affected by a market shock event
Sub-Product Classification,Identification of specific sub-products within the financial institution's portfolio
Market Shock Subtype,Categorization of market shock events based on their specific characteristics
Swap Identifier,Unique identifier for a specific swap transaction in the system
SWAP CUSIP Identifier,Unique identifier for a specific interest rate swap in the system
Swap Reference,Unique identifier for a specific financial swap transaction
Market Shock Reference,Identifier for the reference swap in the market shock impact analysis
Market Shock Termination Notice Period,The duration of time (in days) required for a party to terminate a swap contract due to a market shock event
Market Shock Unwinding,The process of reversing the impact of a market shock on the financial instruments
Sweep Deposit Indicator,A flag indicating if a sweep deposit feature is enabled for a specific market shock event
Account Name,The name of the account associated with the Market Shock Impact analysis
Target Forward Stress Value,Estimated value of a financial instrument under a specific stress scenario
Target Maturity Amount in Local Currency,The target amount of funds to be invested at maturity in the local currency for each cost center
Market Shock Scenario Template,A predefined structure or pattern for creating market shock scenarios in the system
Tenor Period,Duration of time used in financial transactions or investments
Tenor Premium,The difference in yield between two bonds with different maturity dates but with the same credit quality and coupon rate
Market Shock Reconciler,"A unique identifier for the Market Shock Reconciler, which is responsible for managing and resolving discrepancies in the data."
Market Shock Impact Reporting,Identifying the three responsible reporters for market shock impact analysis
Market Shock Risk Reporter,A unique identifier for the risk reporter responsible for assessing the impact of market shocks on the financial institution
Market Shock Review Designation,Indicates the designated reviewer for the Market Shock Review process
Market Shock Review,Indicates the person responsible for reviewing the impact of market shocks on the financial products
Interest Rate Shock Indicator,Indicator of whether the interest rate shock has occurred for a specific deposit
Maturity Feature,Characteristic of the maturity date of a financial instrument
Total Book Value of Derivative Positions,The sum of the book value of all derivative positions held by the firm
Market Shock Risk Exposure,"Total risk exposure due to market shocks, represented as a floating-point number"
Total Portfolio Balance,"The sum of all assets held in a portfolio, including cash and securities"
Total Insured Amount,The sum of all insured values for a specific risk or group of risks
Total Insured Principal Amount,The total amount of principal that is insured in a financial contract or instrument
Total Uninsured Amount,The total amount of uninsured losses in a market shock scenario
Total Uninsured Principal Amount,The total amount of uninsured principal in a market shock scenario
Trade Book Detail,Specific information about a trade book within the Market Shock Impact database
Trade Book Details,Specific information about trades in the market shock impact analysis
Market Shock Impact Timestamp,Date and time when the market shock impact occurred
Market Shock Trade Date,Date when a market shock event occurred
Trade Maturity Date,The date on which a trade or financial contract expires or is scheduled to be completed
Trading Currency,Currency in which financial transactions are conducted
Trading Flat,A measure of the sensitivity of a financial instrument to changes in market conditions
Trading Flat Indicator,"A boolean flag indicating if the trading desk is flat, meaning no open positions"
Transaction Category,The type of financial transactions in the market shock impact analysis
Transaction Timestamp,Time of the transaction in milliseconds since the Unix Epoch
Transaction to Trade Shock ID,Unique identifier linking transactions to trade shocks
Transaction Currency Balance Amount,"The amount of currency held in a transaction account, used to calculate the impact of market shocks on the financial position of the institution"
Treasury Control,A measure of the impact of market shocks on the treasury operations of the financial institution
Market Shock Trigger,Identification of the specific event causing a market shock in the financial system
Triparty Market Shock Impact,The impact of a market shock event on the triparty repo transactions
Trust Identifier,Unique identifier for a trust in the Market Shock Impact analysis
Trust Maturity Date,The date on which a trust agreement is scheduled to end or mature
Type of Non-Debt Instrument,The type of non-debt financial instrument that may be affected by market shocks
Underwriting Fees,Fees charged by a financial institution for assuming the risk of issuing a security
Unencumbered Assets,"The value of assets that are not restricted or tied up in any way, and can be easily liquidated or used as collateral"
Market Shock Monetary Impact,The financial impact of a market shock event in US Dollars
USD Balance Sheet,"The USD balance sheet represents the financial position of the company in US Dollars, including assets, liabilities, and equity."
US Dollar Exchange Rate,The exchange rate of the US Dollar against other currencies in the market
Currency Exchange Rate Change,The difference between the current and hypothetical currency exchange rates in US Dollars
USD FX Realized,Foreign exchange rate impact on USD cash flows
USD FX Unrealized,Unrealized gains or losses in US Dollar (USD) foreign exchange transactions
USD Interest Rate Sensitivity,Measure of the change in the present value of a bond or other financial instrument due to a 1% change in the USD interest rate
Verification Status,Indicates whether the verification process for market shock impact has been completed or not
Market Shock Verification,Verification of the current face amount of a position in the context of a market shock scenario
Market Shock Version,Identifies the specific version of the Market Shock Impact analysis
Market Shock Impact on Cash Collection Net Long APLD,The financial impact on cash collection net long APLD due to a market shock event
Market Shock Impact on Cash Collection Net Short APLD,The financial impact of a market shock event on the cash collection net short amount for a specific trading desk
Waterfall Name,Name of the waterfall in the Market Shock Impact analysis
Product Hierarchy,Organization of products in a structured format for easy navigation and analysis
Market Shock Account Identifier,Unique identifier for each account affected by a market shock event
Market Shock Option,Indicates whether a market shock event has been written for a specific financial instrument
Market Shock Risk Type,The type of market shock risk associated with a specific financial instrument or portfolio
Adjusted Amount in USD,The US dollar equivalent of the adjusted value of the OTC derivatives exposure
OTC Derivatives Exposure,The amount of exposure in US Dollars for Over-the-Counter (OTC) Derivatives contracts
Rehypothecation Flag,Indicates whether the OTC Derivatives position can be rehypothecated
Derivatives Exposure Default Setting,Indicates whether a specific derivatives exposure has been set as the default for a cost center or not
Eliminations Amount,The amount of eliminations in US Dollars for OTC Derivatives transactions
OTC Derivatives Exposure End Date,The date when the Over-the-Counter (OTC) derivatives contract expires or ends
OTC Derivatives Exposure Timestamp,The date and time when a specific OTC derivatives exposure was entered into the system
Accounts Payable Account,Account used to record the liability for goods and services purchased on credit from suppliers
Accounts Receivable Account,Account used to record money owed to the company by its clients or counterparties
Gross Mark-to-Market Revaluation Exposure,The total exposure resulting from the revaluation of all open over-the-counter (OTC) derivatives contracts before the application of netting or other offsetting arrangements
Cash Collateral Received,Amount of cash received as collateral in over-the-counter (OTC) derivatives transactions
Maximum Exposure Value,The maximum possible exposure amount for OTC (Over-the-Counter) Derivatives contracts
Net Exposure Value,"The net exposure value of OTC Derivatives contracts, expressed in US Dollars"
OTC Derivatives Exposure Identifier,Unique identifier for each OTC derivatives exposure record
OTC Derivatives Unique Identifier,Unique identifier assigned to each OTC derivatives transaction or position in the system
Unique Identifier for OTC Derivatives Exposure,A unique alphanumeric code assigned to each record in the OTC Derivatives Exposure database
Counterparty Entity,The legal entity on the other side of an over-the-counter (OTC) derivatives transaction
OTC Derivatives Net Long Exposure,"The net long exposure of over-the-counter (OTC) derivatives, representing the difference between the total long and short positions in OTC derivatives contracts"
Collateral Resource,The value of assets pledged as collateral for off-balance-sheet commitments and guarantees
Country of Issuer,The country where the issuer of the off-balance-sheet commitments and guarantees is located
Off-Balance Sheet Commitments and Guarantees End Date,"The final date for off-balance sheet commitments and guarantees, indicating the expiration or termination of these financial obligations"
Off-Balance Sheet Commitments and Guarantees,Records of off-balance sheet commitments and guarantees provided by the financial institution
Forward Fill Flag,Indicates whether the forward fill method should be applied to the missing data in the financial statement
Off-Balance Sheet Commitments and Guarantees Maturity Date,The date when the off-balance sheet commitments and guarantees expire or are fulfilled
Maximum Off-Balance Sheet Amount,The highest possible off-balance sheet commitments and guarantees provided by the financial institution
Off-Balance Sheet Commitments and Guarantees Reporting,Identifies the person responsible for reporting off-balance sheet commitments and guarantees
Off-Balance Sheet Transactions,Unconsolidated financial transactions not reported on the balance sheet
Off-Balance Sheet Commitments and Guarantees Source,Identifies the source of off-balance sheet commitments and guarantees
Source System,The originating system that provides the data for the Off-Balance Sheet Commitments and Guarantees
Off-Balance Sheet Summary,A summary of off-balance sheet commitments and guarantees provided by the financial institution
Off-Balance Sheet Composition,Off-balance sheet commitments and guarantees provided by the financial institution
Off-Balance Sheet Category,The category of off-balance sheet commitments and guarantees
Business Transaction Date,Date when a business transaction occurred
Cross-Region Data Relationship,Link between data from different geographical regions
Omni Taps Transaction Relationships,Relationships between Omni Taps transactions in the system
Omni Taps Transaction Relationship,Relationship between Omni Taps transactions in the system
Omni Taps Transaction Amount,The monetary amount associated with each transaction in the Omni Taps system
Omni Taps Transaction Identifier,Unique identifier for each transaction in the Omni Taps system
SAP Internal Relationship,Unique identifier for the internal relationship within the SAP system
SAP Legal Entity,Identifies the legal entity within the SAP system
Omni Taps Transaction Origin,Identifies the source of the transaction in the Omni Taps system
Omni Taps Transactions Reconciler,Reconciler responsible for the three-way reconciliation process in the Omni Taps Transactions system
Omni Taps Transaction Reporter,Individual or system responsible for reporting transactions in the Omni Taps system
Omni Taps Transaction Approval,Indicates the approval status of a transaction in the Omni Taps system
Account Owner,The entity responsible for an account in the Omni Taps Transactions system
Margin Excess Settings,Indicates whether the margin excess settings are applied to the account
PB Margin Excess Timestamps,Timestamps indicating when the excess margin was recorded in the system
Margin Excess,Positive difference between the available margin and the required margin for a specific position or trade
PB Margin Excess Run Identifier,Unique identifier for each margin excess run in the system
Term Length,The duration of a financial term or contract in days
Excess Collateral Posted,The amount of collateral posted in excess of the required margin for borrowing
Collateral Posted Segment,Segment of the collateral posted for margin lending purposes
Utilized Collateral Percentage,The percentage of collateral posted that is being utilized for margin lending purposes
Contractual Maturity Date,Date on which a financial contract is scheduled to be completed or settled
Margin Lending Default Setting,Indicates whether a margin lending account has a default setting applied to it
Margin Loan Balance,The outstanding balance of a margin loan provided by the financial institution
Remaining Days to Maturity,Number of days remaining until the maturity date of a margin lending transaction
Margin Lending Transaction ID,Unique identifier for each margin lending transaction
Funding Source,The origin of the margin lending facility
Margin Lending End Date,The date when the margin lending agreement expires or is terminated
Margin Lending Transaction Timestamp,The date and time when a margin lending transaction was initiated or completed
Maximum Margin Amount,The maximum amount of margin that can be lent to a client by the Portfolio Management team
Margin Lending Job Identifier,Unique identifier for each margin lending job in the Portfolio Withdrawal Margin Lending system
Account Category,Classification of accounts based on their type or function
Pending Trade Currency,Currency denomination of the pending trade
Pending Trade Identifier,Unique identifier for pending trades in the financial system
Pending Trade Status,Indicates the status of a pending trade in the system
Trade Expiration Date,The date when a trade is expected to be completed or expire
Pending Trade Timestamp,The exact time when a trade was entered into the system
Exclusion Reason,Specifies the reason for excluding a trade from the processing queue
Pending Trade Feed,Feed containing information about pending trades in the system
Trade Flow Direction,"Indicates the direction of the trade (e.g., buy or sell) in the pending trade"
Market Value of Pending Trades,The total value of all pending trades in the financial markets
Trade Default Status,Indicates whether a trade has defaulted or not
Maximum Trade Amount,The maximum allowed trade amount for pending trades
Pending Trade Prices,The price at which a trade is pending execution
Unique Identifier for Pending Trades,A unique identifier assigned to each pending trade in the system
Trade Origin,"The source of a trade, indicating where the trade is coming from"
Pending Trade Start Date,Date when a pending trade was initiated
Central Bank Eligibility,Indicates whether the funding pool is eligible to be used as collateral for central bank funding
Funding Pool Timestamps,Records the date and time when transactions are entered into the funding pool
High Loss of Securities Funding,The potential high loss of funding due to securities in the Phoenix Funding Pools
Secured Funding Loss Rate,Percentage of secured funding that may be subject to loss
Market Capacity,The total available market value for a specific purpose or investment strategy
Market Capacity Currency,Currency denoting the market capacity for a specific funding pool
Funding Maturity Date,Date on which a funding pool reaches its maturity
Risk Rating,"Risk assessment of a funding pool, represented by a string"
Regional Representation,Identifies the regional representation for each funding pool
Phoenix Funding Pool Job Identifier,Unique identifier for each funding pool job in the Phoenix system
Funding Scope,The range of funding sources available for investment
Security Pool Type,Type of security associated with a funding pool
Stress Long Ratio,A financial ratio used to assess the risk of a funding pool during periods of financial stress
Stress Short Ratio,A measure of the potential impact of market stress on the fund's performance
Unique Identifier for Phoenix Funding Pools,A unique 15-digit integer assigned to each Phoenix Funding Pool for identification purposes
High Loss of Securities Funding Term,The term during which a significant loss of funding due to securities is expected
Day Basis Code,Identifies the day count basis used for calculating interest rates for funding transactions
Day Lag,The number of days by which the funding rate is shifted forward or backward in time
Funding Eligibility,Indicates whether a funding request is eligible for approval
Issue Currency Indicator,Indicates whether the funding rate is related to the issue currency
Shortable Status,Indicates whether a security can be shorted or not
Long Rate,Long-term interest rate used for funding purposes
Funding Rate Override Code,A code representing the funding rate override for the Phoenix system
Long Ratio,The ratio of the total notional amount of long positions to the total notional amount of short positions in a portfolio
Funding Rate Type,Type of funding rate used for the Phoenix funding mechanism
Funding Rate Expiration Date,The date on which the funding rate is scheduled to expire or has expired
Unique Identifier for Funding Rate Calculations,A unique identifier assigned to each funding rate calculation run
Short Rate,The short-term interest rate applied to the funding of financial transactions
Funding Rate Identifier,Unique identifier for each funding rate in the Phoenix Funding Rates system
Short Ratio,The ratio of a trader's total short positions to their total long positions
Short Ratio Code,A unique identifier for the short ratio calculation method used in the Phoenix Funding Rates system
Special Product Indicator,Indicates whether a funding deal is a special product or not
Unique Identifier for Funding Rate Tables,A unique 16-digit identifier assigned to each funding rate table in the Phoenix system
Portfolio Movement,The change in the value of a portfolio of financial instruments
Portfolio Agreement Value,The monetary value of the portfolio agreement between Morgan Stanley and its clients
Portfolio Agreement Type,The type of symmetry agreement applied to a portfolio
Call Date,The date on which a call option can be exercised
Call Status,"The current state of a financial instrument, such as active or inactive"
Communication Cost Split,The proportion of communication costs allocated to each party in a portfolio agreement
Disputed Amount,The amount of money in dispute for a portfolio agreement
Cross-Entity Agreement,Indicates whether a portfolio agreement spans across multiple legal entities within the organization
Dispute Age,"The age of a dispute in the Portfolio Agreement, measured in days"
Dispute Reason Codes,Codes representing the reasons for disputes in portfolio agreements
Portfolio Agreement Timestamp,The date and time when a portfolio agreement was created or updated
Excess Exposure,The amount by which a portfolio's exposure exceeds the agreed limit
Foreign Exchange Split,The proportion of a portfolio's value subject to foreign exchange risk
Government Law Identifier,Unique identifier for government laws related to a portfolio agreement
Portfolio Split Percentage,Percentage of a portfolio allocated to a specific investment
Investment Management Virtual Machine Segregation,Identifies the virtual machine allocation for investment management purposes
Listed Split Percentage,Percentage of a portfolio's value that is allocated to listed securities
Loan Split Percentage,Percentage of a loan allocated to a specific portfolio agreement
Lockup Margin Indicator,Indicates whether a lockup margin is present in the portfolio agreement
Margin Call Date,"The date on which a margin call is issued to a client, requesting additional collateral to maintain the required margin level"
Margin Group,A categorization of financial instruments in a portfolio agreement
Master Agreement Entity,The legal entity responsible for the master agreement in a portfolio
Master Agreement Reference,Unique identifier for the master agreement governing the relationship between the financial institution and its clients
Dispute Amount,The amount of money involved in a dispute related to a portfolio agreement
Net or Gross Portfolio Indicator,Indicates whether the portfolio is valued on a net or gross basis
Portfolio Agreement Notes,Free-form text fields capturing additional information related to a portfolio agreement
Notification Time,Time when a notification is sent or received in the context of a portfolio agreement
Portfolio Swap Split,The proportion of a portfolio swap transaction allocated to a specific cost center
Portfolio Agreement Reference,Unique identifier for each portfolio agreement
Project Risk Indicator,"Indicator of the project risk status, using the RAG (Red, Amber, Green) system"
Repo Split Percentage,Percentage of a portfolio's notional amount that is subject to a repurchase agreement
Rounding Amount,The amount used for rounding off financial figures in a portfolio agreement
Rounding Type,Specifies the type of rounding applied to financial figures in a portfolio agreement
Unique Identifier for Portfolio Agreement,A unique alphanumeric code assigned to each portfolio agreement for identification and tracking purposes
Sleeper Age,Age of a sleeper in a portfolio agreement
Portfolio Sleepers Value,The value of portfolio sleeper positions in US Dollars
SLEEPER\_USD\_INT,Interest rate for sleeper USD positions in the portfolio agreement
Swap Split Ratio,Ratio of the notional amount of a swap that is subject to a specific cost center's risk
Task Type,Type of task associated with a portfolio agreement
Portfolio Threshold,"The minimum or maximum value of a portfolio's assets, used as a trigger for action or notification"
Time Zone,Time zone setting for the portfolio agreement
Transfer Deadline,The date by which a transfer of assets must be completed in a portfolio agreement
Transfer Type,Type of transfer or security associated with a portfolio agreement
Uncollateralized Payable,The amount owed by the financial institution without any collateral
Valuation Agent,Entity responsible for providing valuations of financial instruments in a portfolio agreement
Current Account Balance,"The current balance of a financial product, which may be positive, negative, or NaN"
Product Default Setting,Indicates whether a product has a default setting or not
Product Data Sign-off Status,Indicates whether the product data has been signed off or not
Exchange Identifier,Unique identifier for financial exchanges in the system
Trading Venue Identifier,Unique identifier for the trading venue where the product is being traded
Unique Product Identifier,A unique alphanumeric code assigned to each product for identification purposes
Product Issue Date,Date when a product was issued or released
Security Identification,Unique identifier for each security issued by Morgan Stanley
Product Data,"Information related to financial products, such as bonds, stocks, or derivatives"
Product Identification Code,Unique alphanumeric code representing a specific product in the system
Product Data Identifier,Unique identifier for each product in the system
Underlying Security Identifier,Unique identifier for the underlying security associated with a financial product
Unique Identifier for Financial Instruments,"A unique 9-character alphanumeric identifier for financial instruments, such as bonds, used for identification and reporting purposes"
Product Rating Default Setting,Indicates whether the product rating is set as the default option
Long/Short Term Indicator,Indicates whether a product rating is based on a long-term or short-term investment perspective
Rating Source,The origin or provider of the product rating
Rating Source Description,The source of the rating and its corresponding description
Rating Type,"The type of rating assigned to a product, such as 'LT' for Long Term"
Unique Identifier for Product Ratings,A unique alphanumeric code assigned to each product rating for identification and tracking purposes
Product Rating Unique Identifier,Unique identifier for each product rating in the system
Account Region,Geographic location of an account within the organization
Refined Data Amount,The quantity of refined data used in the system
Preloaded Reference Data Balance,The preloaded balance value of reference data in US Dollar currency format
Credit Limit,Maximum amount of credit a bank allows for a specific account or customer
Maximum Break Amount,"The highest amount at which a security's price can move up or down during a trading day, as specified by the exchange"
Reference Data Code,Unique identifier for reference data records
Continuous Journal Data Availability,Indicates whether the continuous journal data is available for the specific record
Reference Data Currency,The currency represented in the reference data
Reference Data Identifier,Unique identifier for reference data records
Default Data Set Inclusion,Indicates whether a specific data set is included as the default option during the data preloading process
Reference Data Preload Timestamp,Date and time when the reference data was preloaded into the system
Reference Data Preloading Timestamp,Timestamp indicating when the reference data was preloaded into the system
Reference Data Feed,The specific reference data feed used for preloading
Data Flow Direction,Indicates the direction of data flow in the reference data preloading process
Interest Rate Identifier,Unique identifier for each interest rate used in the system
ISIN Code,"International Securities Identification Number, a unique identifier for financial instruments"
Libra Account Type,Identifies the type of account associated with a specific Libra reference data record
Liquidity Arrangement Maximum,Maximum limit for liquidity arrangements in the financial system
Margin Rollup Code,Unique identifier for the margin rollup in the reference data preloading process
Maturity Type,The type of maturity associated with a reference data record
Notional Maximum Exposure,"The maximum possible exposure for a financial instrument, used for risk management purposes"
Data Preload Path Type,The type of path used for data preloading in the system
Portfolio Funding Reference,Unique identifier for reference data related to portfolio funding
Principal Amount,The total amount of money invested in a security or financial instrument
Reference Data RAG Key,Unique identifier for reference data risk assessment and grading
Regional Data Identifier,Unique identifier for the region where the data is being preloaded
Ref Data Preload Job Identifier,Unique identifier for each reference data preload job in the system
Secured USD Amount,The amount of US Dollars secured in financial transactions
Security Pool Reference Data,"Reference data related to securities, used for various financial calculations and operations"
Segment Identifier,Unique identifier for a specific segment within the reference data preloading process
Signatory Entity Identifier,Unique identifier for the entity that signs off on the reference data
Ref Data Preload Status,The current status of reference data preloading process
Trade Purpose,The purpose of a trade or financial transaction
Reference Data Value Date,The date on which the reference data is applicable
Allocated Market Value,The allocated market value of a financial instrument or position in the Repos - BRM system
Axiom Ult Trading ID,Unique identifier for trading instruments in the Axiom database
Benchmark,"A standard or point of reference for comparison, typically in the context of financial or performance metrics"
Booked Maturity Date,The date when a financial transaction or contract is scheduled to be completed or settled
Cash or Non-Cash Indicator,Indicates whether a transaction is cash (N) or non-cash (C) related
Collateralized Value,The value of collateral used to secure a financial transaction or obligation
Collateralized Value Currency,Currency in which the collateralized value of a repo transaction is denominated
Repository Category,The category of a repository in the BRM system
Settlement Days,Number of days required for the settlement of a financial transaction
Stress Maturity Days,Number of days until the next stress maturity date for a repo transaction
Deal Rate,Rate at which transactions are executed in the financial market
Repository Setting Flag,Indicates whether a specific repository setting has been applied or not
Repository End Date,The date when the repository is scheduled to end or has ended
Repository Entry Timestamp,Records the exact time when a new entry was added to the repository
Equity Index,"A standardized measure of the performance of a group of stocks, representing a specific market or sector."
Evergreen Call Date,The date when the Evergreen process is called for the Repos - BRM system
Evergreen Indicator,A flag indicating whether a repository is part of the Evergreen project or not
Execution Date,Date when a specific operation or process was executed
Execution Time,Duration it takes to complete a task or process
Extendable Call Date,Date when a financial contract can be extended or renewed
Extendable Period,The duration for which a financial transaction can be extended
Repository Extendability,Indicates whether the repository can be extended or not
Repository Type,Indicates whether a repository is fixed or floating in the BRM system
Flow Schedule Indicator,An indicator that represents the flow schedule status of a repository
Forward Indicator,A flag indicating whether a specific data record is forwarded or not
Forward Starting Indicator,A flag indicating if the repo transaction starts in the future
Funding Agent,Entity responsible for providing funding or financial support
Funding Calculation Category,The category used for funding calculation purposes in the Repos - BRM system
Initial Maturity Date,The date when a financial transaction or contract reaches its beginning stage
Internal/External Repository Indicator,Indicates whether a repository is internal or external to the organization
BRM Repository Override,An optional field to manually override the internal coverage value for a specific BRM Repository
Repository Status,Indicates whether a repository is accessible or not
Repository - Business Resiliency Management,Repository for storing data related to Business Resiliency Management
Firm Funding Indicator,Indicates whether a repository is funded by the firm or not
Last Sequence Number,The latest sequence number for each record in the repository
Market Haircut,"The difference between the market value and the book value of a security, used to account for potential changes in the security's value due to market fluctuations"
Market Value Shell,"The market value of the shell, which represents the value of the repo transaction excluding the value of the collateral"
Maturing Amount,The total amount of funds that will mature or become due at a specific point in time
Maturity Override Type,Type of maturity override applied to a repo transaction
Maximum USD Exposure,The highest possible exposure to US Dollar (USD) transactions in the system
Minimum Maximum Exposure,The lowest and highest possible exposure limits for a specific financial instrument or position
Minimum Exposure,The lowest possible exposure in US Dollars for a specific financial instrument
Repository Identifier,Unique identifier for each repository in the system
Market Value Price Date,Date when the market value of a financial instrument was last calculated
Price Source for Repositories,Identifies the source of the market value for the repos in the system
Maximum Accrued Fees,The highest amount of fees that have been accumulated but not yet invoiced for each Repository
Maximum Accrued Interest for Deals,The highest amount of accrued interest calculated for each deal in the system
Maximum Dirty Market Value,The highest possible market value of a position before it has been settled or closed
Maximum External Fund Loss,The maximum possible loss incurred by external funds managed by the BRM (Business Risk Management) team
Maximum External Unfound Collateral,The maximum possible amount of external collateral that has not been found or identified
Maximum Funding Value,The highest amount of funding available for a specific repository
Maximum High Fund Loss,The highest possible loss incurred by a fund
Maximum Unfound Collateral Amount,The highest amount of unfound collateral recorded for a specific Repository
Maximum Median Fund Loss,The highest amount of median fund loss allowed for a specific financial instrument
Maximum Repository Interest Rate,The highest interest rate allowed for a repository in the system
Maximum Shell Value,The highest possible value for the shell in the Repos - BRM system
New Funding Amount,The amount of new funding being requested or approved for a project or initiative
Offside Order Number,Unique identifier for an order placed outside the normal trading system
Offshore Net Amount,"The offshore net amount represents the total value of transactions processed offshore, which is used to calculate fees and commissions."
Order Reference Number,Unique identifier for each order placed by the client
Other Legal Entity Identifier,Unique identifier for other legal entities related to a specific repository
Pool Utilization Factor,Ratio of the number of tasks assigned to a resource compared to the total number of tasks the resource can handle
Security Prices,Market prices of securities in the Repos - BRM trading system
Principal Party Company Identifier,Unique identifier for the main party involved in a transaction or agreement
Repository Quantity,Number of repositories in the BRM system
Risk Status,"Risk assessment status of a repository, using a standardized Red, Amber, Green (RAG) scale"
Remaining Deposit Time,The remaining time until a deposit is due for a specific financial transaction
Rolled Trade,"A trade that has been rolled over, which means the settlement date has been postponed to a future date."
Rollover Amount,The amount of funds reinvested in a financial instrument upon maturity
Repository Record Number,Unique identifier for each record in the repository
Repository Run Identifier,Unique identifier for each execution of a repository process
Repository Sequence Number,Unique identifier for each repository in the BRM system
Settlement Type,Type of settlement for financial transactions in a repository
Source Repository,Identifies the source of the repository in the system
Repository Start Date,Date when a specific repository was created or became active
Stress Haircut Factor,A measure of the additional loss applied to a position's value due to stress events or market turbulence
Stress Maturity Date,Date on which the financial stress test is scheduled to be completed
Total Maximum Upgrade Cost,The total maximum cost associated with upgrading the BRM Repos
Trade Currency,Currency in which financial transactions are denominated
Third-Party Repository Indicator,Indicates whether the repository is managed by an external third-party provider
SAP Account Hierarchy,Hierarchical representation of SAP account numbers
SAP General Ledger Account Code,Unique identifier for each account in the SAP General Ledger system
SAP Account Hierarchy Level,Fourteen-character code representing a specific level in the SAP account hierarchy
SAP Account Hierarchy Level 15,Fifteenth level of the account hierarchy in SAP's accounting system
SAP Account Hierarchy Level 16,Sixteenth level of the account hierarchy in SAP's accounting system
SAP General Ledger Account Level,Second level of detail in SAP General Ledger account structure
General Ledger Account Level 5,"The fifth level of a hierarchical structure in the General Ledger account, used for organizing and tracking financial data"
Unique Record Identifier,A unique identifier assigned to each record in the SAP General Ledger Account feed
SAP GL Account Feed Unique Identifier,Unique identifier for each SAP General Ledger account feed
SAP General Ledger Account Reference,Unique identifier for each SAP General Ledger account
Standard Industrial Classification Code,A four-digit code used to classify businesses based on the type of economic activity they engage in
SSIC Name,Name of the Security Symbol Identifier Code (SSIC)
Unique Identifier for Data Tables,A unique identifier assigned to each data table in the system
Stock Loan Benchmark,A reference point or standard used to compare the performance of stock loans in the financial market
Stock Loan Maturity Date,Date on which the stock loan transaction is scheduled to be completed
Stock Loan Business Date,The date when the stock loan transaction occurred
Stock Loan Type,Indicates whether the stock loan is cash or non-cash
Client Classification,Categorization of clients based on specific criteria
Client Margin Requirement,The minimum amount of collateral required from a client for a stock loan transaction
Stock Loan Collateral Identifier,Unique identifier for the collateral in a stock loan transaction
Stock Loan Creation Time,Timestamp indicating when a stock loan was created
Stock Loan Currency,The currency in which the stock loan transaction is denominated
Stock Loan Identifier,Unique identifier for stock loans in the system
Settlement Period,Number of days required for the settlement of a stock loan transaction
Stock Loan Category,The category of stock loan transactions in the system
Stock Loan Default Setting,Indicates whether a stock loan account has a default setting or not
Stock Loan Expiration Date,The date when a stock loan is scheduled to end
Stock Loan Transaction Timestamp,Records the date and time when a stock loan transaction occurred
Stock Loan Exception Signoff,Indicates whether an exception has been signed off for a stock loan transaction
Stock Loan Execution Date,Date on which the stock loan transaction was executed
Extendable Type,Type of extendable feature in the Stock Loan system
Stock Loan Fee Rate,The fee charged for a stock loan transaction in the financial market
Stock Loan Indicator,Indicates whether a stock loan transaction is in progress
Funding Region,The geographical area where the funding for a stock loan is being provided
Stock Loan Haircut,The difference between the loan value and the market value of a stock used as collateral in a stock loan transaction
Stock Loan Firm Funding Indicator,Indicates whether a stock loan is funded by the firm or not
Stock Loan Prepaid Indicator,Indicates whether the stock loan is prepaid or not
Stock Loan Loss Rate,Percentage of secured funding lost due to stock loan transactions
